tensor(4.1012, device='cuda:0')
tensor(3.9654, device='cuda:0')
tensor(3.7087, device='cuda:0')
tensor(3.8948, device='cuda:0')
tensor(3.9106, device='cuda:0')
tensor(3.9549, device='cuda:0')
tensor(3.9307, device='cuda:0')
tensor(3.8575, device='cuda:0')
tensor(3.9936, device='cuda:0')
tensor(3.7845, device='cuda:0')
tensor(3.7771, device='cuda:0')
tensor(3.7683, device='cuda:0')
tensor(3.6293, device='cuda:0')
tensor(3.7286, device='cuda:0')
tensor(3.9131, device='cuda:0')
tensor(3.9849, device='cuda:0')
tensor(3.6559, device='cuda:0')
tensor(3.7975, device='cuda:0')
tensor(4.1743, device='cuda:0')
tensor(3.8114, device='cuda:0')
tensor(4.0474, device='cuda:0')
tensor(4.0154, device='cuda:0')
tensor(3.9585, device='cuda:0')
tensor(4.0164, device='cuda:0')
tensor(4.0684, device='cuda:0')
tensor(3.7996, device='cuda:0')
tensor(3.7189, device='cuda:0')
tensor(3.8314, device='cuda:0')
tensor(3.8988, device='cuda:0')
tensor(4.0303, device='cuda:0')
tensor(4.0075, device='cuda:0')
tensor(3.7951, device='cuda:0')
tensor(3.9947, device='cuda:0')
tensor(3.9774, device='cuda:0')
tensor(3.9413, device='cuda:0')
tensor(4.0279, device='cuda:0')
tensor(4.3020, device='cuda:0')
tensor(4.0870, device='cuda:0')
tensor(3.7953, device='cuda:0')
tensor(3.8443, device='cuda:0')
tensor(3.8678, device='cuda:0')
tensor(3.8708, device='cuda:0')
tensor(3.6184, device='cuda:0')
tensor(3.8049, device='cuda:0')
tensor(4.0333, device='cuda:0')
tensor(3.9994, device='cuda:0')
tensor(3.8312, device='cuda:0')
tensor(3.5871, device='cuda:0')
tensor(3.7719, device='cuda:0')
tensor(3.8219, device='cuda:0')
tensor(4.0092, device='cuda:0')
tensor(3.9057, device='cuda:0')
tensor(3.7147, device='cuda:0')
tensor(3.7288, device='cuda:0')
tensor(3.7518, device='cuda:0')
tensor(4.1259, device='cuda:0')
tensor(3.8722, device='cuda:0')
tensor(3.9026, device='cuda:0')
tensor(3.8373, device='cuda:0')
tensor(3.7910, device='cuda:0')
tensor(4.1639, device='cuda:0')
tensor(3.5661, device='cuda:0')
tensor(4.1947, device='cuda:0')
tensor(3.7218, device='cuda:0')
tensor(4.0318, device='cuda:0')
tensor(3.9267, device='cuda:0')
tensor(3.7788, device='cuda:0')
tensor(3.7196, device='cuda:0')
tensor(3.9272, device='cuda:0')
tensor(3.8101, device='cuda:0')
tensor(3.7355, device='cuda:0')
tensor(3.7997, device='cuda:0')
tensor(3.7356, device='cuda:0')
tensor(3.7728, device='cuda:0')
tensor(3.6043, device='cuda:0')
tensor(3.8996, device='cuda:0')
tensor(3.8711, device='cuda:0')
tensor(3.9519, device='cuda:0')
tensor(3.7492, device='cuda:0')
tensor(3.7413, device='cuda:0')
tensor(3.7172, device='cuda:0')
tensor(3.8938, device='cuda:0')
tensor(3.6573, device='cuda:0')
tensor(3.8183, device='cuda:0')
tensor(3.8202, device='cuda:0')
tensor(3.9328, device='cuda:0')
tensor(3.6054, device='cuda:0')
tensor(3.7529, device='cuda:0')
tensor(3.8401, device='cuda:0')
tensor(3.7552, device='cuda:0')
tensor(3.8076, device='cuda:0')
tensor(3.8215, device='cuda:0')
tensor(3.9884, device='cuda:0')
tensor(4.0662, device='cuda:0')
tensor(3.8517, device='cuda:0')
tensor(3.8140, device='cuda:0')
tensor(4.1568, device='cuda:0')
tensor(3.8963, device='cuda:0')
tensor(4.0975, device='cuda:0')
tensor(4.1475, device='cuda:0')
tensor(4.0413, device='cuda:0')
tensor(3.9590, device='cuda:0')
tensor(4.2439, device='cuda:0')
tensor(3.8778, device='cuda:0')
tensor(3.8089, device='cuda:0')
tensor(4.0105, device='cuda:0')
tensor(3.8648, device='cuda:0')
tensor(4.0022, device='cuda:0')
tensor(4.1811, device='cuda:0')
tensor(3.9461, device='cuda:0')
tensor(4.0620, device='cuda:0')
tensor(3.9535, device='cuda:0')
tensor(4.0399, device='cuda:0')
tensor(3.7868, device='cuda:0')
tensor(3.9089, device='cuda:0')
tensor(3.7436, device='cuda:0')
tensor(3.8469, device='cuda:0')
tensor(3.7920, device='cuda:0')
tensor(3.8235, device='cuda:0')
tensor(3.8513, device='cuda:0')
tensor(3.9198, device='cuda:0')
tensor(3.7648, device='cuda:0')
tensor(3.8578, device='cuda:0')
tensor(3.6637, device='cuda:0')
tensor(3.8384, device='cuda:0')
tensor(3.7370, device='cuda:0')
tensor(3.8840, device='cuda:0')
tensor(3.7732, device='cuda:0')
tensor(3.8168, device='cuda:0')
tensor(3.6447, device='cuda:0')
tensor(3.6706, device='cuda:0')
tensor(3.5348, device='cuda:0')
tensor(4.0502, device='cuda:0')
tensor(3.8819, device='cuda:0')
tensor(4.0630, device='cuda:0')
tensor(3.6886, device='cuda:0')
tensor(3.9528, device='cuda:0')
tensor(3.9347, device='cuda:0')
tensor(3.8632, device='cuda:0')
