tensor(2.5326, device='cuda:0')
tensor(2.5363, device='cuda:0')
tensor(2.1671, device='cuda:0')
tensor(2.3094, device='cuda:0')
tensor(2.2517, device='cuda:0')
tensor(2.1553, device='cuda:0')
tensor(2.2701, device='cuda:0')
tensor(2.1880, device='cuda:0')
tensor(2.4400, device='cuda:0')
tensor(2.1379, device='cuda:0')
tensor(2.1638, device='cuda:0')
tensor(2.0573, device='cuda:0')
tensor(2.3654, device='cuda:0')
tensor(2.3894, device='cuda:0')
tensor(2.4790, device='cuda:0')
tensor(2.3407, device='cuda:0')
tensor(2.2423, device='cuda:0')
tensor(2.1006, device='cuda:0')
tensor(2.4271, device='cuda:0')
tensor(2.4581, device='cuda:0')
tensor(2.5079, device='cuda:0')
tensor(2.3776, device='cuda:0')
tensor(2.2976, device='cuda:0')
tensor(2.1517, device='cuda:0')
tensor(2.5801, device='cuda:0')
tensor(2.5159, device='cuda:0')
tensor(2.4188, device='cuda:0')
tensor(2.2918, device='cuda:0')
tensor(2.4454, device='cuda:0')
tensor(2.5990, device='cuda:0')
tensor(2.1507, device='cuda:0')
tensor(2.3625, device='cuda:0')
tensor(2.4420, device='cuda:0')
tensor(2.4446, device='cuda:0')
tensor(2.1574, device='cuda:0')
tensor(2.4986, device='cuda:0')
tensor(2.3531, device='cuda:0')
tensor(2.1598, device='cuda:0')
tensor(2.6159, device='cuda:0')
tensor(2.1253, device='cuda:0')
tensor(2.3669, device='cuda:0')
tensor(2.1778, device='cuda:0')
tensor(2.2207, device='cuda:0')
tensor(2.5255, device='cuda:0')
tensor(2.2474, device='cuda:0')
tensor(2.4924, device='cuda:0')
tensor(2.6540, device='cuda:0')
tensor(2.4774, device='cuda:0')
tensor(2.5918, device='cuda:0')
tensor(2.4043, device='cuda:0')
tensor(2.4984, device='cuda:0')
tensor(2.5160, device='cuda:0')
tensor(2.5968, device='cuda:0')
tensor(2.6480, device='cuda:0')
tensor(2.5149, device='cuda:0')
tensor(2.5797, device='cuda:0')
tensor(2.4526, device='cuda:0')
tensor(2.2863, device='cuda:0')
tensor(2.3771, device='cuda:0')
tensor(2.7740, device='cuda:0')
tensor(2.3484, device='cuda:0')
tensor(2.3556, device='cuda:0')
tensor(2.5991, device='cuda:0')
tensor(2.4989, device='cuda:0')
tensor(2.3718, device='cuda:0')
tensor(2.4560, device='cuda:0')
tensor(2.7312, device='cuda:0')
tensor(2.5244, device='cuda:0')
