tensor(4.8429, device='cuda:0')
tensor(4.8853, device='cuda:0')
tensor(4.5221, device='cuda:0')
tensor(4.5712, device='cuda:0')
tensor(4.4428, device='cuda:0')
tensor(4.5410, device='cuda:0')
tensor(4.6676, device='cuda:0')
tensor(4.5258, device='cuda:0')
tensor(4.6015, device='cuda:0')
tensor(4.7171, device='cuda:0')
tensor(4.6998, device='cuda:0')
tensor(4.7152, device='cuda:0')
tensor(4.6789, device='cuda:0')
tensor(4.6528, device='cuda:0')
tensor(4.6536, device='cuda:0')
tensor(4.7765, device='cuda:0')
tensor(4.6836, device='cuda:0')
tensor(4.6445, device='cuda:0')
tensor(4.9714, device='cuda:0')
tensor(5.0030, device='cuda:0')
tensor(4.9166, device='cuda:0')
tensor(4.9409, device='cuda:0')
tensor(4.7996, device='cuda:0')
tensor(4.7643, device='cuda:0')
tensor(4.9935, device='cuda:0')
tensor(4.9535, device='cuda:0')
tensor(4.8486, device='cuda:0')
tensor(4.6898, device='cuda:0')
